ORD,NOMBRE COMPLETO DE LA UNIDAD,Unidad,Unidad Padre,Unidad Abuelo,PROVINCIA,CANTÓN/CIUDAD,PARROQUIA,DIRECCION,REGIONES
1,ACADEMIA DE GUERRA DE LA FUERZA TERRESTRE,A.G.F.T,C.E.D.F.T,C.G.F.T,PICHINCHA,RUMINAHUI ,SAN RAFAEL,PICHINCHA  / RUMINAHUI  / SAN RAFAEL,SIERRA
2,COMANDO GENERAL DE LA FUERZA TERRESTRE,C.G.F.T,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
3,FUNDACIÓN VIRGEN DE LA MERCED,F.V MERCED,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
4,COMANDO Y ESTADO MAYOR DE LA 1-BI,C.E.M 1,1 B.I,III.D.E,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
5,"GRUPO DE ARTILLERÍA DE 105 MM. NRO. 13 ""MARISCAL SUCRE""",G.A.105 13,13 B.I,I.D.E,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
6,COMPAÑIA LOGÍSTICA DEL B.S 50,CIA. LOG/50,NO ENCONTRADO,NO ENCONTRADO,MORONA SANTIAGO,TAISHA ,TAISHA,MORONA SANTIAGO  / TAISHA  / TAISHA,ORIENTE
7,COMPAÑIA LOGÍSTICA DEL B.S 63,CIA. LOG/63,NO ENCONTRADO,NO ENCONTRADO,MORONA SANTIAGO,GUALAQUIZA ,GUALAQUIZA,MORONA SANTIAGO  / GUALAQUIZA  / GUALAQUIZA,ORIENTE
8,COMANDO DE APOYO LOGÍSTICO NRO. 11,C.A.L 11,11 B.C.B,I.D.E,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
9,ESCUADRÓN DE COMUNICACIONES NRO. 9,E.C 9,9 B.F.E,I.D.E,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
10,COMANDO DE APOYO LOGÍSTICO NRO. 9,C.A.L 9,9 B.F.E,I.D.E,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
11,"BRIGADA DE FUERZAS ESPECIALES NRO. 9 ""PATRIA""",9 B.F.E,NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
12,BANDA DE MÚSICOS NRO. 9,B.MUS 9,NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
13,"GRUPO DE FUERZAS ESPECIALES NRO. 53 ""RAYO""",G.F.E 53,19 B.S,IV.D.E,SUCUMBIOS,LAGO AGRIO ,NUEVA LOJA,SUCUMBIOS  / LAGO AGRIO  / NUEVA LOJA,ORIENTE
14,PERSONAL A DISP. DE E.1 P.S. EN OTROS ORGANISMOS,DISP.E.1,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
15,"GRUPO DE ARTILLERÍA DE 155 MM. NRO. 11 ""TNTE. RODRÍGUEZ""",G.A.AP.155 11,11 B.C.B,I.D.E,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
16,COMPAÑIA LOGÍSTICA DEL G.A.E 44,CIA. LOG/44,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
17,ESCUADRÓN DE MORTEROS BLINDADO 120MM No.11,E.M.B 11,NO ENCONTRADO,NO ENCONTRADO,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
18,COMPAÑIA LOGÍSTICA DEL B.I 39,CIA. LOG/39,NO ENCONTRADO,NO ENCONTRADO,CARCHI,TULCAN ,TULCAN,CARCHI  / TULCAN  / TULCAN,SIERRA
19,"BATALLÓN DE INFANTERÍA MOTORIZADA NRO. 39 ""MAYOR MOLINA""",B.I.MOT 39,31 B.I,IV.D.E,CARCHI,TULCAN ,TULCAN,CARCHI  / TULCAN  / TULCAN,SIERRA
20,"BATALLÓN DE INGENIEROS DE COMBATE NRO. 67 ""MONTUFAR""",B.E 67,C.E.E,C.O.T,STO. DOMINGO DE LOS TSÁCHILAS,STO. DOMINGO DE LOS COLORADOS ,STO. DOMINGO DE LOS CO,STO. DOMINGO DE LOS TSÁCHILAS  / STO. DOMINGO DE LOS COLORADOS  / STO. DOMINGO DE LOS CO,COSTA
21,COMPAÑIA LOGÍSTICA DEL B.E 67,CIA.LOG/67,NO ENCONTRADO,NO ENCONTRADO,STO. DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO ,CHIGUILPE,STO. DOMINGO DE LOS TSÁCHILAS  / SANTO DOMINGO  / CHIGUILPE,COSTA
22,"UNIDAD EDUCATIVA DE FF.AA. COLEGIO MILITAR NRO. 8 ""GRAL. JOSÉ VILLAMIL JOLY""",UE-COMIL8,C.E.D.F.T,C.G.F.T,GUAYAS,PLAYAS ,GENERAL VILLAMIL (PLAYAS),GUAYAS  / PLAYAS  / GENERAL VILLAMIL (PLAYAS),COSTA
23,COMPAÑIA LOGÍSTICA DEL G.C.B 32,CIA. LOG/32,NO ENCONTRADO,NO ENCONTRADO,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
24,COMPAÑIA LOGÍSTICA DEL G.F.E 53,CIA. LOG/53,NO ENCONTRADO,NO ENCONTRADO,SUCUMBIOS,LAGO AGRIO ,NUEVA LOJA,SUCUMBIOS  / LAGO AGRIO  / NUEVA LOJA,ORIENTE
25,"UNIDAD EDUCATIVA DE FF.AA. COLEGIO MILITAR NRO. 7 ""GRAB. MIGUEL ITURRALDE""",UE-COMIL7,C.E.D.F.T,C.G.F.T,MANABÍ,PORTOVIEJO ,PORTOVIEJO,MANABÍ / PORTOVIEJO  / PORTOVIEJO,COSTA
26,"UNIDAD EDUCATIVA DE FF.AA. COLEGIO MILITAR NRO. 6 ""COMBATIENTES DE TAPI""",UE-COMIL6,C.E.D.F.T,C.G.F.T,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
27,"UNIDAD EDUCATIVA DE FF.AA. COLEGIO MILITAR NRO. 5 ""LAURO GUERRERO""",UE-COMIL5,C.E.D.F.T,C.G.F.T,LOJA,LOJA ,EL SAGRARIO,LOJA  / LOJA  / EL SAGRARIO,SIERRA
28,"BATALLÓN DE SELVA NRO. 57 ""MONTECRISTI""",B.S 57,19 B.S,IV.D.E,ORELLANA,AGUARICO ,TIPUTINI,ORELLANA  / AGUARICO  / TIPUTINI,ORIENTE
29,COMPAÑIA POLICÍA MILITAR NRO. 17,C.P.M 17,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
